id,timeA,gols_timeA,x,gols_timeB,timeB
554871,Botafogo FR,1,x,2,Clube do Remo
554877,SE Palmeiras,1,x,1,Santos FC
554879,EC Vitória,4,x,1,Coritiba FBC
554870,CA Paranaense,0,x,0,Grêmio FBPA
554873,Cruzeiro EC,1,x,3,CA Mineiro
554874,CR Flamengo,2,x,2,CR Vasco da Gama
554878,São Paulo FC,2,x,2,EC Bahia
554872,Chapecoense AF,1,x,2,RB Bragantino
554875,SC Internacional,2,x,0,Fluminense FC
554876,Mirassol FC,2,x,1,SC Corinthians Paulista
554883,Coritiba FBC,2,x,2,SC Internacional
554884,Fluminense FC,2,x,2,EC Vitória
554881,EC Bahia,1,x,2,Cruzeiro EC
554880,CA Mineiro,1,x,1,Botafogo FR
554887,Clube do Remo,1,x,1,SE Palmeiras
554882,SC Corinthians Paulista,3,x,2,São Paulo FC
554886,Mirassol FC,1,x,1,Chapecoense AF
554888,Santos FC,2,x,0,RB Bragantino
554885,Grêmio FBPA,0,x,1,CR Flamengo
554889,CR Vasco da Gama,1,x,0,CA Paranaense
554891,CA Mineiro,3,x,1,Mirassol FC
554897,SC Internacional,4,x,1,CR Vasco da Gama
554896,Fluminense FC,3,x,1,São Paulo FC
554898,SE Palmeiras,1,x,1,Cruzeiro EC
554899,Santos FC,0,x,3,Coritiba FBC
554892,EC Bahia,1,x,1,Grêmio FBPA
554893,Botafogo FR,3,x,1,SC Corinthians Paulista
554894,RB Bragantino,2,x,0,EC Vitória
554895,Chapecoense AF,2,x,3,Clube do Remo
554890,CA Paranaense,1,x,1,CR Flamengo
554907,São Paulo FC,1,x,1,Botafogo FR
554909,EC Vitória,2,x,0,SC Internacional
554904,Grêmio FBPA,3,x,2,Santos FC
554905,Mirassol FC,1,x,0,Fluminense FC
554903,CR Flamengo,0,x,3,SE Palmeiras
